Motor cycle Name,fueltype,starter,surat,maintenance,wheelbase,speedometer,enginetype,enginesize,fuelsystem,stroke,horsepower,peakrpm,price,Company
Royal Enfield Thunderbird 350,bensin,0,1,0,88.6,64.1,dohc,130,mpfi,2.68,111,5000,13495.0,1
Honda Dream Yuga,bensin,0,1,1,88.6,64.1,dohc,130,mpfi,2.68,111,5000,16500.0,2
TVS Apache RTR 160 4V,bensin,0,1,1,94.5,65.5,ohcv,152,mpfi,3.47,154,5000,16500.0,4
Honda Navi [2016-2017],bensin,1,0,0,99.8,66.2,ohc,109,mpfi,3.4,102,5500,13950.0,2
Yamaha Fazer [2009-2016],bensin,1,0,0,99.4,66.4,ohc,136,mpfi,3.4,115,5500,17450.0,3
Hero Honda Splendor NXG,bensin,1,0,0,99.8,66.3,ohc,136,mpfi,3.4,110,5500,15250.0,5
Hero Glamour 125,bensin,1,0,1,105.8,71.4,ohc,136,mpfi,3.4,110,5500,17710.0,5
Yamaha FZ S [2012-2016],bensin,1,0,0,105.8,71.4,ohc,136,mpfi,3.4,110,5500,18920.0,3
Hero Xtreme Sports,bensin,1,0,0,105.8,71.4,ohc,131,mpfi,3.4,140,5500,23875.0,5
Honda X-Blade,bensin,1,0,0,99.5,67.9,ohc,131,mpfi,3.4,160,5500,17859.167,2
Honda CB Shine SP,bensin,2,1,0,101.2,64.8,ohc,108,mpfi,2.8,101,5800,16430.0,2
Honda Activa 5G,bensin,2,1,1,101.2,64.8,ohc,108,mpfi,2.8,101,5800,16925.0,2
Hero Glamour 125,bensin,2,1,1,101.2,64.8,ohc,164,mpfi,3.19,121,4250,20970.0,5
Honda CBR-250R,bensin,2,1,1,101.2,64.8,ohc,164,mpfi,3.19,121,4250,21105.0,2
Hero Honda Passion PRO [2012],bensin,1,1,1,103.5,66.9,ohc,164,mpfi,3.19,121,4250,24565.0,5
Royal Enfield Thunderbird 350,bensin,2,1,0,103.5,66.9,ohc,209,mpfi,3.39,182,5400,30760.0,1
Bajaj Dominar 400,bensin,2,1,1,103.5,67.9,ohc,209,mpfi,3.39,182,5400,41315.0,0
Hero Glamour FI,bensin,2,1,1,110.0,70.9,ohc,209,mpfi,3.39,182,5400,36880.0,5
KTM 390 Duke,bensin,2,0,0,88.4,60.3,ohc,150,2bbl,3.03,48,5100,5151.0,6
Hero Passion XPro,bensin,2,0,0,94.5,63.6,ohc,150,2bbl,3.11,70,5400,6295.0,5
Yamaha FZ S V 2.0,bensin,2,0,0,94.5,63.6,ohc,150,2bbl,3.11,70,5400,6575.0,3
